fips,county,state,lat,lon,entity_count,total_acres,r1_covered,r1_nearest_site,r1_nearest_dist,r1_covering_site,r1_covering_dist,r1_covering_threshold,r2_covered,r2_nearest_site,r2_nearest_dist,r2_covering_site,r2_covering_dist,r2_covering_threshold,r3_covered,r3_nearest_site,r3_nearest_dist,r3_covering_site,r3_covering_dist,r3_covering_threshold,r4_covered,r4_nearest_site,r4_nearest_dist,r4_covering_site,r4_covering_dist,r4_covering_threshold
37141,Pender,North Carolina,34.386,-77.6199,1,1288.0,N,N/A,N/A,,,,Y,Marine Corps Base Camp Lejeune,21.0,Fort Liberty,99.8,100,Y,Marine Corps Base Camp Lejeune,21.0,Fort Liberty,99.8,100,Y,Marine Corps Base Camp Lejeune,21.0,Fort Liberty,99.8,100
37153,Richmond,North Carolina,35.0059,-79.748,1,132.7,N,N/A,N/A,,,,Y,Camp Mackall,15.2,Fort Liberty,35.0,100,Y,Camp Mackall,15.2,Fort Liberty,35.0,100,Y,Camp Mackall,15.2,Fort Liberty,35.0,100
37155,Robeson,North Carolina,34.6401,-79.1035,1,4804.3,N,N/A,N/A,,,,Y,Fort Liberty,32.5,Fort Liberty,32.5,100,Y,Fort Liberty,32.5,Fort Liberty,32.5,100,Y,Fort Liberty,32.5,Fort Liberty,32.5,100
37163,Sampson,North Carolina,34.9915,-78.3712,7,9371.3,N,N/A,N/A,,,,Y,Seymour Johnson Air Force Base,33.8,Fort Liberty,44.3,100,Y,Seymour Johnson Air Force Base,33.8,Fort Liberty,44.3,100,Y,Seymour Johnson Air Force Base,33.8,Fort Liberty,44.3,100
37165,Scotland,North Carolina,34.8411,-79.4805,2,4096.4,N,N/A,N/A,,,,Y,Camp Mackall,13.1,Fort Liberty,26.7,100,Y,Camp Mackall,13.1,Fort Liberty,26.7,100,Y,Camp Mackall,13.1,Fort Liberty,26.7,100
37177,Tyrrell,North Carolina,35.8161,-76.2118,1,51.4,N,N/A,N/A,,,,Y,Dare County Range,20.0,Dare County Range,20.0,100,Y,Dare County Range,20.0,Dare County Range,20.0,100,Y,Dare County Range,20.0,Dare County Range,20.0,100
37185,Warren,North Carolina,36.3966,-78.1069,1,695.4,N,N/A,N/A,,,,N,Fort Gregg-Adams,72.1,,,,N,Fort Gregg-Adams,72.1,,,,N,Fort Gregg-Adams,72.1,,,
39049,Franklin,Ohio,39.9696,-83.0093,1,69.0,N,N/A,N/A,,,,N,Wright-Patterson Air Force Base,56.2,,,,N,Wright-Patterson Air Force Base,56.2,,,,Y,Wright-Patterson Air Force Base,56.2,Wright-Patterson Air Force Base,56.2,100
39061,Hamilton,Ohio,39.1954,-84.5426,1,5.0,N,N/A,N/A,,,,N,Wright-Patterson Air Force Base,50.3,,,,N,Wright-Patterson Air Force Base,50.3,,,,Y,Wright-Patterson Air Force Base,50.3,Muscatatuck Urban Training Center,53.6,100
39063,Hancock,Ohio,41.0019,-83.6665,2,239.0,N,N/A,N/A,,,,N,Wright-Patterson Air Force Base,84.3,,,,N,Wright-Patterson Air Force Base,84.3,,,,Y,Joint Systems Manufacturing Center--Lima,26.1,Wright-Patterson Air Force Base,84.3,100
39133,Portage,Ohio,41.1676,-81.1962,1,21.0,N,N/A,N/A,,,,N,Biometric Technology Center (Defense Forensics and Biometrics Agency),136.5,,,,N,Biometric Technology Center (Defense Forensics and Biometrics Agency),136.5,,,,N,Detroit Arsenal,132.2,,,
40007,Beaver,Oklahoma,36.7497,-100.4767,1,1450.0,N,N/A,N/A,,,,N,Fort Sill,180.2,,,,N,Fort Sill,180.2,,,,N,Vance Air Force Base,145.2,,,
40045,Ellis,Oklahoma,36.2184,-99.7546,1,831.6,N,N/A,N/A,,,,N,Fort Sill,126.9,,,,N,Fort Sill,126.9,,,,N,Vance Air Force Base,103.0,,,
40059,Harper,Oklahoma,36.7887,-99.6673,1,293.4,N,N/A,N/A,,,,N,Tinker Air Force Base,159.0,,,,N,Tinker Air Force Base,159.0,,,,N,Vance Air Force Base,102.3,,,
41061,Union,Oregon,45.3104,-118.009,1,28.0,N,N/A,N/A,,,,Y,Naval Weapons Systems Training Facility Boardman,86.2,Naval Weapons Systems Training Facility Boardman,86.2,100,Y,Naval Weapons Systems Training Facility Boardman,86.2,Naval Weapons Systems Training Facility Boardman,86.2,100,Y,Naval Weapons Systems Training Facility Boardman,86.2,Naval Weapons Systems Training Facility Boardman,86.2,100
42077,Lehigh,Pennsylvania,40.6129,-75.5924,1,679.0,N,N/A,N/A,,,,Y,Naval Support Activity Philadelphia,47.4,Aberdeen Proving Ground,94.7,100,Y,Naval Support Activity Philadelphia,47.4,Aberdeen Proving Ground,94.7,100,Y,Naval Support Activity Philadelphia,47.4,Aberdeen Proving Ground,94.7,100
45033,Dillon,South Carolina,34.3915,-79.3789,1,207.8,N,N/A,N/A,,,,Y,Camp Mackall,44.5,Fort Liberty,51.4,100,Y,Camp Mackall,44.5,Fort Liberty,51.4,100,Y,Camp Mackall,44.5,Fort Liberty,51.4,100
45085,Sumter,South Carolina,33.9162,-80.3823,1,339.0,N,N/A,N/A,,,,N,Shaw Air Force Base,6.7,,,,N,Shaw Air Force Base,6.7,,,,N,Shaw Air Force Base,6.7,,,
46053,Gregory,South Dakota,43.1924,-99.1856,1,9.9,N,N/A,N/A,,,,N,Offutt Air Force Base,220.7,,,,N,Ellsworth Air Force Base,206.4,,,,N,Ellsworth Air Force Base,206.4,,,
48057,Calhoun,Texas,28.4909,-96.6495,1,1119.0,N,N/A,N/A,,,,N,Ellington Field Joint Reserve Base,118.4,,,,N,Ellington Field Joint Reserve Base,118.4,,,,N,Ellington Field Joint Reserve Base,118.4,,,
48061,Cameron,Texas,26.1293,-97.5292,4,2496.0,N,N/A,N/A,,,,N,Joint Base San Antonio,233.9,,,,N,Joint Base San Antonio,233.9,,,,N,Joint Base San Antonio,233.9,,,
48085,Collin,Texas,33.1878,-96.5724,2,23.1,N,N/A,N/A,,,,N,Fort Sill,152.0,,,,N,Fort Sill,152.0,,,,N,McAlester Army Ammunition Plant,118.9,,,
48113,Dallas,Texas,32.7666,-96.7779,1,143.0,N,N/A,N/A,,,,N,Fort Cavazos,121.0,,,,N,Fort Cavazos,121.0,,,,N,Fort Cavazos,121.0,,,
48121,Denton,Texas,33.2043,-97.1171,1,82.0,N,N/A,N/A,,,,N,Fort Sill,129.9,,,,N,Fort Sill,129.9,,,,N,Fort Sill,129.9,,,
48137,Edwards,Texas,29.9826,-100.3047,1,40.0,N,N/A,N/A,,,,N,Joint Base San Antonio,111.4,,,,Y,Laughlin Air Force Base,51.9,Laughlin Air Force Base,51.9,100,Y,Laughlin Air Force Base,51.9,Laughlin Air Force Base,51.9,100
48179,Gray,Texas,35.4012,-100.8126,1,1583.7,N,N/A,N/A,,,,N,Fort Sill,138.9,,,,N,Fort Sill,138.9,,,,N,Altus Air Force Base,100.8,,,
48201,Harris,Texas,29.7371,-95.1819,1,392.0,N,N/A,N/A,,,,N,Ellington Field Joint Reserve Base,8.4,,,,N,Ellington Field Joint Reserve Base,8.4,,,,N,Ellington Field Joint Reserve Base,8.4,,,
