site_name,location,current_part,threshold_miles,regime_added,latitude,longitude,conus,mirta_match
Camp Grayling,"Grayling, MI",2,100,2024,44.6614,-84.7282,Y,MANUAL_COORDS
Camp Shelby,"Hattiesburg, MS",2,100,2020,31.120738,-89.035723,Y,Camp Shelby
Camp Williams,"Bluffdale, UT",2,100,2024,40.4398,-111.9282,Y,MANUAL_COORDS
Cannon Air Force Base,"Clovis, NM",2,100,2024,34.386475,-103.317513,Y,Cannon AFB
Cape Canaveral Space Force Station,"Cape Canaveral, FL",2,100,2020,28.477357,-80.570279,Y,Cape Canaveral Space Force Station
Chocolate Mountain Aerial Gunnery Range,"Niland, CA",2,100,2024,33.0247,-115.5456,Y,MANUAL_COORDS
Columbus Air Force Base,"Columbus, MS",2,100,2024,33.641312,-88.451119,Y,Columbus AFB
Dare County Range,"Manns Harbor, NC",2,100,2020,35.71448,-75.87856,Y,Dare County Range
Dover Air Force Base,"Delmarva, DE",2,100,2024,39.127766,-75.466883,Y,Dover AFB
Dyess Air Force Base,"Abilene, TX",2,100,2023,32.423349,-99.843817,Y,Dyess AFB
Edwards Air Force Base,"Edwards, CA",2,100,2023,34.89036,-117.848869,Y,Edwards Air Force Base
Eglin Air Force Base,"Valparaiso, FL",2,100,2020,30.607122,-86.326377,Y,Eglin Air Force Base
Ellsworth Air Force Base,"Box Elder, SD",2,100,2023,44.157084,-103.094008,Y,Ellsworth AFB
Fallon Range Complex,"Fallon, NV",2,100,2020,39.4163,-118.7001,Y,MANUAL_COORDS
Fort Greely,"Delta Junction, AK",2,100,2020,63.966801,-145.715116,N,Fort Greely
Fort Huachuca,"Sierra Vista, AZ",2,100,2023,31.532699,-110.384085,Y,Fort Huachuca
Fort Irwin,"San Bernardino County, CA",2,100,2020,35.3751,-116.633087,Y,Fort Irwin
Fort Johnson,"Vernon Parish, LA",2,100,2020,31.142336,-93.117646,Y,Fort Johnson
Fort Liberty,"Fayetteville, NC",2,100,2020,35.108712,-79.141255,Y,Fort Liberty
Fort Novosel,"Dale County, AL",2,100,2024,31.403955,-85.747317,Y,Fort Novosel AL
Fort Wainwright,"Fairbanks, AK",2,100,2020,64.54524,-147.708818,N,Fort Wainwright
Goodfellow Air Force Base,"San Angelo, TX",2,100,2024,31.432178,-100.404389,Y,Goodfellow AFB
Grand Forks Air Force Base,"Grand Forks, ND",2,100,2023,47.954464,-97.3909,Y,Grand Forks AFB
Hardwood Range,"Necedah, WI",2,100,2020,44.234591,-90.054047,Y,Hardwood Range
Hill Air Force Base,"Ogden, UT",2,100,2020,41.128461,-111.99171,Y,Hill Air Force Base
Joint Base Cape Cod,"Sandwich, MA",2,100,2024,38.813084,-76.857687,Y,Joint Base Andrews
Joint Base Charleston,"North Charleston, SC",2,100,2024,38.813084,-76.857687,Y,Joint Base Andrews
Joint Base San Antonio,"San Antonio, TX",2,100,2020_moved_2024,29.3842,-98.5811,Y,MANUAL_COORDS
Laughlin Air Force Base,"Del Rio, TX",2,100,2023,29.35674,-100.782947,Y,Laughlin AFB
Little Rock Air Force Base,"Little Rock, AR",2,100,2024,34.903991,-92.138483,Y,Little Rock AFB
Luke Air Force Base,"Glendale, AZ",2,100,2023,33.534316,-112.376099,Y,Luke AFB
Malmstrom Air Force Base,"Great Falls, MT",2,100,2020_moved_2024,47.505874,-111.182558,Y,Malmstrom Air Force Base
Maxwell-Gunter Air Force Base,"Montgomery, AL",2,100,2024,32.407581,-86.244828,Y,Maxwell AFB Gunter Annex
Moody Air Force Base,"Valdosta, GA",2,100,2020_moved_2024,30.967503,-83.185157,Y,Moody Air Force Base
Mountain Home Air Force Base,"Mountain Home, ID",2,100,2020,43.048939,-115.86588,Y,Mountain Home Air Force Base
Muscatatuck Urban Training Center,"Butlerville, IN",2,100,2024,39.051345,-85.524743,Y,NG Muscatatuck Urban Training Center
Naval Air Station Meridian,"Meridian, MS",2,100,2020,32.553221,-88.569493,Y,Naval Air Station Meridian
Naval Air Station Patuxent River,"Lexington Park, MD",2,100,2020,38.281995,-76.420254,Y,Naval Air Station Patuxent River
Naval Air Weapons Station China Lake,"Ridgecrest, CA",2,100,2020,35.934872,-117.643939,Y,Naval Air Weapons Station China Lake
Naval Base Kitsap--Keyport,"Keyport, WA",2,100,2020,47.555771,-122.652079,Y,Naval Base Kitsap – Keyport
Naval Base Ventura County--Point Mugu Operating Facility,"Point Mugu, CA",2,100,2020,34.112329,-119.110014,Y,Naval Base Ventura County – Point Mugu Operating Facility
Naval Weapons Systems Training Facility Boardman,"Boardman, OR",2,100,2020,45.71965,-119.691195,Y,Naval Weapons Systems Training Facility Boardman
Nellis Air Force Base,"Las Vegas, NV",2,100,2020,36.243242,-114.994594,Y,Nellis Air Force Base
Nevada Test and Training Range,"Tonopah, NV",2,100,2020,37.497893,-116.504324,Y,Nevada Test and Training Range
Pacific Missile Range Facility,"Kekaha, HI",2,100,2020,48.053244,-122.726221,N,CNI NAVMAG Indian Island
Patrick Space Force Base,"Cocoa Beach, FL",2,100,2020,28.23357,-80.608413,Y,Patrick Space Force Base
Redstone Arsenal,"Huntsville, AL",2,100,2020_moved_2024,34.632767,-86.657213,Y,Redstone Arsenal
